"CUSP_ID","LONGITUDE","LATITUDE","ELAPSED_DAYS","MAG","DEPTH","YEAR","MONTH","DAY","HOUR","MINUTE","SECOND"
3366784,171.908501396151,-43.6345953084752,1.084182584,4.281,5,2010,9,4,18,36,54.66626
3366786,172.413104046703,-43.6107588282772,1.087990183,2.727,15.6059,2010,9,4,18,42,23.6428
3366794,172.124688425763,-43.6339998741435,1.100136151,4.321,5,2010,9,4,18,59,53.05443
3366799,172.475458604859,-43.6458464728774,1.108235504,3.748,13.4894,2010,9,4,19,11,32.83857
3366806,171.962771265865,-43.5773150563762,1.121650869,3.68,5,2010,9,4,19,30,51.92606
3366810,172.278178351622,-43.6262948828922,1.129230622,4.103,5,2010,9,4,19,41,46.81672
3366813,171.86229926125,-43.5464613959393,1.136077649,4.009,15.1038,2010,9,4,19,51,38.3999
3366821,172.368021740512,-43.6529419522737,1.151542281,4.286,5,2010,9,4,20,13,54.54407
3366823,172.235517873229,-43.5491590807116,1.156248235,3.466,12,2010,9,4,20,20,41.13847
3366829,172.498492394189,-43.6090998942901,1.168592422,3.175,12,2010,9,4,20,38,27.67627
3366831,172.55365391298,-43.6308374730496,1.172315338,3.567,5,2010,9,4,20,43,49.33622
3366858,172.403277258718,-43.6224995719487,1.215600316,4.382,5.7499,2010,9,4,21,46,9.15828
3366860,172.270718643694,-43.6138985533163,1.217653976,3.817,12,2010,9,4,21,49,6.59449
3366865,172.373212515477,-43.6412061428053,1.227788113,4.051,5,2010,9,4,22,3,42.18393
3366867,171.759168030332,-43.4228653401966,1.231660323,3.163,5,2010,9,4,22,9,16.74289
3366870,172.409882417464,-43.6134066605028,1.236251268,4.209,5.82,2010,9,4,22,15,53.40051
3366873,171.96823044356,-43.2745651951251,1.241355972,3.54,6.6205,2010,9,4,22,23,14.44701
3366887,172.173201357917,-43.4766718202831,1.265516233,3.433,6.2144,2010,9,4,22,58,1.89349
3366890,172.137846293129,-43.4768800904317,1.26950917,3.003,8.8971,2010,9,4,23,3,46.88324
3366891,172.433522009517,-43.6370890252786,1.272452611,3.289,5,2010,9,4,23,8,1.19659
3393152,172.440154779978,-43.6570668880517,1.273604234,3.048,5,2010,9,4,23,9,40.69678
3393157,172.151825292066,-43.6075948485073,1.276140657,2.636,5,2010,9,4,23,13,19.84373
3366893,171.891491671264,-43.5934479851848,1.276800607,3.305,5,2010,9,4,23,14,16.86343
3366896,171.955122544266,-43.2989952989911,1.279134677,2.637,8.8507,2010,9,4,23,17,38.52709
3393160,172.293821930181,-43.576615778225,1.279597387,2.508,5,2010,9,4,23,18,18.50519
3366897,172.223054635874,-43.6123452781577,1.282782218,3.241,5,2010,9,4,23,22,53.67464
3393170,172.384085448658,-43.6482222125138,1.283799962,2.405,5,2010,9,4,23,24,21.60767
3366900,172.289866293889,-43.5718298819749,1.28931735,2.729,5,2010,9,4,23,32,18.31
3366901,172.118314313508,-43.6402702330994,1.290387767,2.815,5,2010,9,4,23,33,50.79402
3366903,172.36557348999,-43.576168807321,1.293283324,3.079,5,2010,9,4,23,38,0.97018
3366904,172.248960047835,-43.6051989218913,1.29504688,2.677,5,2010,9,4,23,40,33.34145
3366905,172.427525248773,-43.6739173641945,1.296289334,3.352,5,2010,9,4,23,42,20.68944
3366906,172.376230022275,-43.557126804574,1.298953652,3.003,5,2010,9,4,23,46,10.88649
3366907,172.323657066677,-43.6203865830157,1.301293594,3.36,5,2010,9,4,23,49,33.05749
3366908,171.922121656625,-43.5451652534255,1.30459654,2.745,5,2010,9,4,23,54,18.43207
3393189,172.156288938204,-43.5250940394627,1.307497886,2.656,5,2010,9,4,23,58,29.10837
3366909,172.248873989916,-43.6081597306789,1.307845005,3.265,5,2010,9,4,23,58,59.09941
3366910,172.306809002735,-43.5766585947925,1.309649382,2.946,5,2010,9,5,0,1,34.9976
3366911,171.980943711268,-43.5723824184006,1.311918293,2.744,5,2010,9,5,0,4,51.0315
3366912,172.241564455094,-43.5933140178456,1.312640971,3.336,5,2010,9,5,0,5,53.47089
3375732,172.371837713385,-43.6314957697693,1.313627353,2.882,5,2010,9,5,0,7,18.69431
3366915,172.152067570244,-43.4702167235656,1.319813873,2.673,5,2010,9,5,0,16,13.20959
3366916,172.345776098016,-43.6016120337911,1.321900905,4.231,6.8115,2010,9,5,0,19,13.52917
3375788,172.34066710186,-43.6285047917753,1.322961781,3.142,5,2010,9,5,0,20,45.1889
3366918,172.153010690185,-43.517976793146,1.324502896,2.616,5,2010,9,5,0,22,58.34118
3366919,172.198258107811,-43.6166671902674,1.327140784,2.969,5,2010,9,5,0,26,46.25473
3366920,171.928075481277,-43.5612530934166,1.327675662,3.844,3.1174,2010,9,5,0,27,32.4682
3366922,172.324550019843,-43.5867820689089,1.333961292,3.642,14.5694,2010,9,5,0,36,35.54665
3376320,171.84997171978,-43.6244480536687,1.334661071,3.088,5,2010,9,5,0,37,36.00754
3366924,172.074456504789,-43.5901939293044,1.336903989,2.92,5,2010,9,5,0,40,49.79565
3366925,172.434847958738,-43.6384366235655,1.338606984,4.178,8.0686,2010,9,5,0,43,16.93443
3366930,172.453845808947,-43.6163951135534,1.347288126,3.028,12,2010,9,5,0,55,46.9851
3376913,172.473541631775,-43.5707265323578,1.347869481,2.797,26.71,2010,9,5,0,56,37.21416
3366931,171.871192533911,-43.5740768020411,1.349677251,3.228,5,2010,9,5,0,59,13.4055
3376933,172.156948623118,-43.5963358030746,1.353593859,2.938,5,2010,9,5,1,4,51.80037
3366933,172.381388974611,-43.6439954405381,1.353651808,4.936,4.5072,2010,9,5,1,4,56.80719
3366937,172.43955792799,-43.5898462963237,1.360543084,3.28,7.2454,2010,9,5,1,14,52.21342
3366939,172.29468231741,-43.5750188466616,1.363682448,2.514,5,2010,9,5,1,19,23.45454
